client_id,entity_type,entity_year_established
462,Individual/Sole Trader,1999
463,Individual/Sole Trader,2015
464,Other Partnership,2000
465,Family Partnership,2009
466,Australian Private Company,2008
467,Australian Private Company,2006
468,Australian Private Company,2010
469,Australian Private Company,2011
470,Individual/Sole Trader,2015
471,Discretionary Trading Trust,2017
472,Individual/Sole Trader,2003
473,Australian Private Company,2016
474,Australian Private Company,2017
475,Individual/Sole Trader,2012
476,Family Partnership,2002
477,Individual/Sole Trader,2002
478,Australian Private Company,2002
479,Australian Private Company,2003
480,Australian Private Company,2005
481,Australian Private Company,2006
482,Australian Private Company,2007
483,Individual/Sole Trader,2014
484,Individual/Sole Trader,2014
485,Australian Private Company,2012
486,Individual/Sole Trader,2000
487,Individual/Sole Trader,2016
488,Individual/Sole Trader,2009
489,Australian Private Company,2014
490,Australian Private Company,2015
491,Australian Private Company,2007
492,Australian Private Company,2007
493,Individual/Sole Trader,2007
494,Australian Private Company,2006
495,Australian Private Company,2008
496,Australian Private Company,2009
497,Australian Private Company,2009
498,Australian Private Company,2010
499,Australian Private Company,2010
500,Australian Private Company,2010
501,Australian Private Company,2014
502,Individual/Sole Trader,2006
503,Individual/Sole Trader,2014
504,Family Partnership,2000
505,Australian Private Company,2015
506,Australian Private Company,2016
507,Australian Private Company,2016
508,Individual/Sole Trader,2000
509,Australian Private Company,2000
510,Australian Private Company,2000
511,Individual/Sole Trader,2005
512,Australian Private Company,2000
513,Australian Private Company,2000
514,Australian Private Company,2007
515,Australian Private Company,2010
516,Australian Private Company,2010
517,Australian Private Company,2013
518,Australian Private Company,2015
519,Individual/Sole Trader,2000
520,Australian Public Company,2000
521,Australian Private Company,2000
522,Australian Private Company,1999
523,Australian Private Company,2007
524,Australian Private Company,2008
525,Australian Private Company,2012
526,Australian Private Company,2012
527,Individual/Sole Trader,2003
528,Individual/Sole Trader,2012
529,Family Partnership,2012
530,Australian Private Company,2015
531,Individual/Sole Trader,2013
532,Individual/Sole Trader,2012
533,Individual/Sole Trader,2013
534,Family Partnership,2006
535,Australian Private Company,2005
536,Australian Private Company,2010
537,Individual/Sole Trader,2008
538,Individual/Sole Trader,2007
539,Individual/Sole Trader,2012
540,Australian Private Company,2015
541,Australian Private Company,2015
542,Individual/Sole Trader,2016
543,Individual/Sole Trader,2011
544,Individual/Sole Trader,2000
545,Australian Private Company,2000
546,Australian Private Company,2000
547,Individual/Sole Trader,2012
548,Australian Private Company,2008
549,Australian Private Company,2010
550,Australian Private Company,2013
551,Individual/Sole Trader,2013
552,Individual/Sole Trader,2003
553,Australian Private Company,2014
554,Individual/Sole Trader,2005
555,Individual/Sole Trader,2013
556,Australian Private Company,2015
557,Australian Private Company,1999
558,Individual/Sole Trader,2001
559,Australian Private Company,2007
560,Australian Private Company,2008
561,Australian Private Company,2008
562,Australian Private Company,2010
563,Australian Private Company,2010
564,Australian Private Company,2011
565,Individual/Sole Trader,2005
566,Individual/Sole Trader,2010
567,Australian Private Company,2015
568,Australian Private Company,2015
569,Australian Private Company,2015
570,Family Partnership,2000
571,Individual/Sole Trader,2013
572,Individual/Sole Trader,2006
573,Individual/Sole Trader,2004
574,Australian Private Company,2000
575,Australian Private Company,2000
576,Australian Private Company,2005
577,Australian Private Company,2007
578,Individual/Sole Trader,2016
579,Individual/Sole Trader,2002
580,Individual/Sole Trader,2000
581,Australian Private Company,2016
582,Hybrid Trust,2007
583,Individual/Sole Trader,1999
584,Australian Private Company,2011
585,Individual/Sole Trader,1999
586,Individual/Sole Trader,2011
587,Individual/Sole Trader,2013
588,Individual/Sole Trader,2001
589,Individual/Sole Trader,2000
590,Australian Private Company,2014
591,Australian Private Company,2015
592,Australian Private Company,2015
593,Australian Private Company,2016
594,Australian Private Company,2017
595,Individual/Sole Trader,2013
596,Australian Private Company,2000
597,Australian Private Company,2000
598,Australian Private Company,2002
599,Australian Private Company,2006
600,Australian Proprietary Company,2009
601,Individual/Sole Trader,2005
602,Individual/Sole Trader,2008
603,Individual/Sole Trader,2004
604,Individual/Sole Trader,2015
605,Individual/Sole Trader,2016
606,Australian Private Company,2014
607,Australian Private Company,2015
608,Individual/Sole Trader,2013
609,Individual/Sole Trader,2009
610,Individual/Sole Trader,2000
611,Individual/Sole Trader,2003
612,Australian Private Company,1999
613,Australian Private Company,2005
614,Australian Private Company,2007
615,Australian Private Company,2011
616,Australian Private Company,2013
617,Individual/Sole Trader,2008
618,Australian Private Company,2014
619,Individual/Sole Trader,2002
620,Australian Private Company,2000
621,Individual/Sole Trader,2016
622,Australian Private Company,2000
623,Australian Private Company,1999
624,Australian Private Company,2005
625,Australian Private Company,2008
626,Family Partnership,1999
627,Australian Public Company,2012
628,Australian Private Company,2012
629,Australian Private Company,2013
630,Individual/Sole Trader,2009
631,Family Partnership,2000
632,Australian Private Company,2015
633,Australian Private Company,2015
634,Australian Private Company,2015
635,Australian Private Company,2015
636,Australian Private Company,2016
637,Australian Private Company,2017
638,Individual/Sole Trader,2014
639,Family Partnership,2000
640,Australian Private Company,2000
641,Australian Private Company,2000
642,Australian Private Company,2000
643,Australian Private Company,2007
644,Australian Private Company,2008
645,Individual/Sole Trader,2005
646,Individual/Sole Trader,2010
647,Individual/Sole Trader,2000
648,Australian Private Company,2014
649,Australian Private Company,2016
650,Individual/Sole Trader,2006
651,Individual/Sole Trader,2016
652,Individual/Sole Trader,2014
653,Individual/Sole Trader,2015
654,Individual/Sole Trader,2000
655,Australian Private Company,2003
656,Australian Private Company,2004
657,Australian Private Company,2006
658,Australian Private Company,2010
659,Australian Private Company,2012
660,Australian Private Company,2013
661,Individual/Sole Trader,2015
662,Individual/Sole Trader,2005
663,Individual/Sole Trader,2013
664,Australian Private Company,2014
665,Australian Private Company,2015
666,Australian Private Company,2014
667,Individual/Sole Trader,2006
668,Individual/Sole Trader,2013
669,Australian Private Company,2000
670,Australian Private Company,2007
671,Australian Private Company,2009
672,Australian Private Company,2014
673,Australian Private Company,2014
674,Australian Private Company,2015
675,Australian Private Company,2015
676,Australian Private Company,2015
677,Australian Private Company,2000
678,Individual/Sole Trader,2000
679,Individual/Sole Trader,2010
680,Australian Private Company,2015
681,Australian Private Company,2011
682,Australian Private Company,2014
683,Individual/Sole Trader,2011
684,Individual/Sole Trader,2016
685,Individual/Sole Trader,2014
686,Individual/Sole Trader,2014
687,Individual/Sole Trader,2003
688,Australian Private Company,2016
689,Australian Private Company,2016
690,Individual/Sole Trader,2011
691,Australian Private Company,2003
692,Australian Private Company,2012
693,Australian Private Company,2012
694,Australian Private Company,2013
695,Individual/Sole Trader,2010
696,Individual/Sole Trader,2011
697,Individual/Sole Trader,2015
698,Discretionary Trading Trust,2006
699,Australian Private Company,2014
700,Australian Private Company,2015
701,Australian Private Company,2000
702,Australian Private Company,2000
703,Australian Private Company,1999
704,Australian Private Company,2000
705,Australian Private Company,2008
706,Australian Private Company,2009
707,Australian Private Company,2012
708,Australian Private Company,2012
709,Australian Private Company,2012
710,Australian Private Company,2012
711,Australian Private Company,2012
712,Australian Private Company,2013
713,Australian Private Company,2013
714,Australian Public Company,2013
715,Individual/Sole Trader,2012
716,Individual/Sole Trader,2016
717,Individual/Sole Trader,2017
718,Individual/Sole Trader,2012
719,Individual/Sole Trader,2013
720,Individual/Sole Trader,2013
721,Individual/Sole Trader,2015
722,Australian Private Company,2014
723,Australian Private Company,2014
724,Australian Private Company,2015
725,Australian Private Company,2016
726,Individual/Sole Trader,2000
727,Australian Private Company,2000
728,Australian Private Company,2003
729,Australian Private Company,2011
730,Australian Private Company,2005
731,Australian Private Company,2006
732,Australian Private Company,2006
733,Australian Private Company,2006
734,Australian Private Company,2007
735,Australian Private Company,2012
736,Australian Private Company,2013
737,Australian Private Company,2013
738,Individual/Sole Trader,2016
739,Individual/Sole Trader,2017
740,Australian Private Company,2016
741,Individual/Sole Trader,2013
742,Individual/Sole Trader,2014
743,Australian Private Company,2000
744,Individual/Sole Trader,2013
745,Australian Private Company,2003
746,Australian Private Company,2003
747,Australian Private Company,2005
748,Australian Private Company,2013
749,Australian Private Company,2010
750,Australian Private Company,2011
751,Individual/Sole Trader,2014
752,Australian Private Company,2011
753,Australian Private Company,2012
754,Australian Private Company,2012
755,Australian Private Company,2013
756,Australian Private Company,2013
757,Australian Private Company,2015
758,Australian Private Company,2016
759,Australian Private Company,2016
760,Australian Private Company,2002
761,Australian Private Company,2003
762,Individual/Sole Trader,2000
763,Family Partnership,2000
764,Australian Private Company,2013
765,Australian Private Company,2014
766,Australian Private Company,2014
767,Australian Private Company,2014
768,Australian Private Company,2015
769,Individual/Sole Trader,1999
770,Individual/Sole Trader,2011
771,Individual/Sole Trader,2000
772,Individual/Sole Trader,2000
773,Australian Private Company,2000
774,Individual/Sole Trader,2003
775,Australian Private Company,2000
776,Australian Private Company,2006
777,Australian Private Company,2010
778,Australian Private Company,2012
779,Australian Private Company,2014
780,Individual/Sole Trader,2014
781,Individual/Sole Trader,2012
782,Australian Private Company,2015
783,Australian Private Company,2015
784,Australian Private Company,2000
785,Australian Private Company,2000
786,Australian Private Company,2002
787,Australian Private Company,2006
788,Australian Private Company,2006
789,Australian Private Company,2009
790,Australian Private Company,2013
791,Family Partnership,2011
792,Family Partnership,2014
793,Individual/Sole Trader,2013
794,Individual/Sole Trader,2014
795,Australian Private Company,2015
796,Australian Private Company,2017
797,Discretionary Investment Trust,2016
798,Australian Private Company,2000
799,Australian Private Company,2000
800,Australian Private Company,2005
801,Individual/Sole Trader,2000
802,Australian Private Company,2012
803,Australian Private Company,2013
804,Australian Private Company,2013
805,Australian Private Company,2014
806,Individual/Sole Trader,2014
807,Australian Private Company,2015
808,Australian Private Company,2015
809,Individual/Sole Trader,2000
810,Individual/Sole Trader,2000
811,Australian Private Company,2001
812,Individual/Sole Trader,2009
813,Australian Private Company,2000
814,Australian Private Company,2003
815,Australian Private Company,2012
816,Individual/Sole Trader,2017
817,Individual/Sole Trader,2014
818,Australian Private Company,2016
819,Australian Private Company,2017
820,Family Partnership,2000
821,Australian Private Company,2017
822,Individual/Sole Trader,2009
823,Australian Private Company,2000
824,Australian Private Company,2000
825,Individual/Sole Trader,2014
826,Australian Private Company,2000
827,Australian Private Company,1999
828,Australian Private Company,2010
829,Australian Private Company,2012
830,Australian Private Company,2012
831,Australian Private Company,2013
832,Australian Private Company,2014
833,Individual/Sole Trader,2015
834,Family Partnership,2008
835,Individual/Sole Trader,2016
836,Individual/Sole Trader,2013
837,Individual/Sole Trader,2013
838,Australian Private Company,2016
839,Individual/Sole Trader,2008
840,Individual/Sole Trader,2009
841,Individual/Sole Trader,2005
842,Australian Private Company,2000
843,Australian Private Company,2003
844,Australian Private Company,2004
845,Australian Private Company,2008
846,Australian Private Company,2009
847,Australian Private Company,2012
848,Australian Private Company,2013
849,Australian Private Company,2014
850,Australian Private Company,2014
851,Individual/Sole Trader,2016
852,Individual/Sole Trader,2014
853,Individual/Sole Trader,1999
854,Individual/Sole Trader,2016
855,Family Partnership,2000
856,Individual/Sole Trader,2003
857,Australian Private Company,2005
858,Australian Private Company,2010
859,Australian Private Company,2011
860,Australian Private Company,2013
861,Individual/Sole Trader,2015
862,Other Partnership,2002
863,Individual/Sole Trader,2007
864,Individual/Sole Trader,2001
865,Australian Private Company,2014
866,Family Partnership,2000
867,Australian Private Company,2000
868,Australian Private Company,2004
869,Australian Private Company,2007
870,Australian Private Company,2007
871,Australian Private Company,2007
872,Australian Private Company,2007
873,Australian Private Company,2014
874,Australian Private Company,2012
875,Individual/Sole Trader,2016
876,Individual/Sole Trader,2006
877,Individual/Sole Trader,2017
878,Australian Private Company,2014
879,Australian Private Company,2016
880,Individual/Sole Trader,2014
881,Individual/Sole Trader,1999
882,Australian Private Company,2005
883,Family Partnership,2000
884,Australian Private Company,2006
885,Australian Private Company,2007
886,Australian Private Company,2010
887,Australian Private Company,2010
888,Australian Private Company,2012
889,Individual/Sole Trader,2009
890,Individual/Sole Trader,2014
891,Australian Private Company,2014
892,Australian Private Company,2015
893,Australian Private Company,2016
894,Australian Private Company,2016
895,Family Partnership,1999
896,Individual/Sole Trader,2015
897,Other Partnership,2009
898,Australian Private Company,2000
899,Australian Private Company,2010
900,Australian Private Company,2007
901,Australian Private Company,2010
902,Individual/Sole Trader,2015
903,Australian Private Company,2015
904,Australian Private Company,2016
905,Individual/Sole Trader,2005
906,Individual/Sole Trader,2010
907,Australian Private Company,2000
908,Australian Private Company,2000
909,Australian Private Company,2000
910,Australian Private Company,2002
911,Australian Private Company,2004
912,Australian Private Company,2005
913,Australian Private Company,2008
914,Australian Private Company,2014
915,Australian Private Company,2014
916,Individual/Sole Trader,2017
917,Individual/Sole Trader,2001
918,Individual/Sole Trader,2011
919,Discretionary Trading Trust,2007
920,Australian Private Company,2014
921,Individual/Sole Trader,2014
922,Individual/Sole Trader,2008
923,Individual/Sole Trader,2011
924,Individual/Sole Trader,2016
925,Australian Private Company,2000
926,Individual/Sole Trader,2013
927,Individual/Sole Trader,1999
928,Australian Private Company,2007
929,Australian Private Company,2009
930,Australian Private Company,2011
931,Australian Private Company,2012
932,Individual/Sole Trader,2012
933,Individual/Sole Trader,2009
934,Individual/Sole Trader,2017
935,Individual/Sole Trader,2000
936,Individual/Sole Trader,2002
937,Individual/Sole Trader,2005
938,Individual/Sole Trader,2016
939,Australian Private Company,2014
940,Australian Private Company,2015
941,Australian Private Company,2016
942,Australian Private Company,2016
943,Individual/Sole Trader,2016
944,Individual/Sole Trader,2003
945,Individual/Sole Trader,2009
946,Individual/Sole Trader,2011
947,Australian Private Company,2000
948,Australian Private Company,2001
949,Australian Private Company,2001
950,Australian Private Company,2006
951,Australian Private Company,2006
952,Individual/Sole Trader,2012
953,Individual/Sole Trader,2014
954,Australian Private Company,2016
955,Australian Private Company,2017
956,Individual/Sole Trader,2012
957,Individual/Sole Trader,2011
958,Australian Private Company,2000
959,Australian Private Company,2000
960,Australian Private Company,2001
961,Australian Private Company,2007
962,Australian Private Company,2007
963,Australian Private Company,2009
964,Australian Private Company,2012
965,Australian Public Company,2013
966,Individual/Sole Trader,2016
967,Individual/Sole Trader,2008
968,Australian Private Company,2014
969,Australian Private Company,2014
970,Australian Private Company,2016
971,Australian Private Company,2016
972,Individual/Sole Trader,2012
973,Individual/Sole Trader,2015
974,Individual/Sole Trader,2011
975,Australian Private Company,2000
976,Australian Private Company,2006
977,Australian Private Company,2008
978,Australian Private Company,2009
979,Australian Private Company,2013
980,Australian Private Company,2013
981,Individual/Sole Trader,2009
982,Individual/Sole Trader,2014
983,Australian Private Company,2016
984,Individual/Sole Trader,2014
985,Family Partnership,2013
986,Individual/Sole Trader,2000
987,Individual/Sole Trader,2010
988,Australian Private Company,2000
989,Individual/Sole Trader,2000
990,Australian Private Company,2011
991,Australian Private Company,2006
